year,team_name,avg_points_per_game,scoring_margin_per_game,num_fg_attempts_per_game,fg_percentage,num_3p_per_game,num_3p_attempts_per_game,t3p_percentage,num_ft_attempts_per_game,ft_percentage,rebound_margin,assists_per_game,ato_ratio,avg_opponent_points_per_game,num_opp_fg_attempts_per_game,opp_fg_percentage,num_opp_3p_attempts_per_game,opp_3p_percentage,blocks_per_game,steals_per_game,opp_turnovers_per_game,turnovers_per_game,fouls_per_game,num_dq
2011,Georgetown,71.03226,4.93549,53.25806,0.47789,7.03226,19.51613,0.36033,17.90323,0.73153,2.45162,15.12903,1.12740,66.09677,55.45161,0.41827,16.03226,0.32998,4.45161,6.12903,11.54839,13.41935,18.61290,7
2011,Georgia,68.81250,4.53125,55.37500,0.45147,4.71875,,,20.25000,0.69599,4.68750,15.18750,1.13287,64.28125,56.43750,0.39590,18.06250,0.32180,5.03125,6.50000,12.21875,13.40625,16.50000,10
2011,Hampton,67.25000,5.28125,55.87500,0.40660,6.53125,20.12500,0.32453,23.50000,0.65027,-4.28125,11.96875,0.96962,61.96875,56.68750,0.37872,17.12500,0.31204,5.75000,7.46875,15.87500,12.34375,18.34375,7
2011,Indiana St,66.45455,2.36364,52.66667,0.42980,6.90909,19.03030,0.36306,20.06061,0.71148,1.45455,12.66667,0.90281,64.09091,51.84848,0.40327,17.24242,0.32865,4.36364,6.21212,13.03030,14.03030,20.00000,13
2011,LIU Brooklyn,82.59375,8.71875,60.12500,0.46622,6.90625,18.87500,0.36589,30.43750,0.64476,5.09375,15.12500,0.98574,73.87500,65.56250,0.43279,21.37500,0.29971,3.43750,7.34375,14.96875,15.34375,17.25000,11
2011,Little Rock,68.00000,1.00000,53.77143,0.42561,6.65714,16.74286,0.39761,22.65714,0.68726,-1.54286,11.82857,1.00485,67.00000,51.80000,0.43243,18.45714,0.33746,2.48571,5.88571,13.77143,11.77143,20.45714,12
2011,Louisville,75.35294,10.73529,60.26471,0.45242,8.79412,24.38235,0.36068,17.97059,0.66939,0.47058,17.47059,1.34086,64.61765,55.23529,0.39457,18.23529,0.30645,4.94118,9.20588,16.05882,13.02941,19.20588,12
2011,Memphis,72.02941,3.94117,56.50000,0.45029,6.00000,18.35294,0.32692,22.29412,0.67942,0.73529,14.58824,0.95385,68.08824,57.00000,0.41538,17.73529,0.33167,5.35294,8.52941,14.88235,15.29412,20.23529,20
2011,Michigan St,68.54545,2.33333,55.51515,0.43231,6.36364,18.03030,0.35294,20.30303,0.69851,4.24243,14.81818,1.11644,66.21212,54.93939,0.42195,17.57576,0.36379,4.81818,6.36364,11.96970,13.27273,18.78788,12
2011,Missouri,81.36364,9.93940,63.09091,0.46061,7.24242,19.69697,0.36769,21.63636,0.73950,-1.93940,16.42424,1.28436,71.42424,57.24242,0.43515,17.15152,0.34099,5.09091,9.75758,18.27273,12.78788,20.33333,15
